localidad;contaminacion_2021;basuras_2021;noalcantarillado_2021
teusaquillo;83;24;0
engativa;157;90;0
desconocido;218;117;172
antonio nariño;51;33;0
usaquen;39;30;8
fontibon;122;36;0
los martires;94;40;0
santa fe;83;80;2
chapinero;45;45;11
kennedy;285;188;0
rafael uribe uribe;109;114;1
ciudad bolivar;194;141;39
suba;160;127;24
tunjuelito;119;66;0
bosa;157;109;1
la candelaria;24;22;0
usme;122;136;41
puente aranda;97;58;0
san cristobal;72;98;3
barrios unidos;80;45;0
sumapaz;0;0;39
